A0	Прилагательное, имеющее то же лексическое значение, что X
CAUSFACT1-M	Делать так, что X находится в таком состоянии по отношению к P1, которое соответствует нормальным ожиданиям (лексически обусловленный глагол, при котором P0 или P2 выполняет функцию подлежащего, Х - функцию главного дополнения, а P1 – функцию второстепенного дополнения)
CAUSFACT2	Делать так, чтобы X функционировал в соответствии со своим  предназначением по отношению к P2 (глагол, при котором P0  выполняет функцию подлежащего, Х - функцию главного дополнения, а P2 - функцию второстепенного дополнения)
CAUSFUNC0	Делать так или быть причиной того, что X происходит, существует или имеет место (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, а Х - функцию главного дополнения)
CAUSFUNC1	Делать так или быть причиной того, что X есть у P1 (лексически обусловленный глагол, при котором P0  или P2 выполняет функцию подлежащего, Х - функцию главного дополнения, а P1 - функцию  второстепенного дополнения)
CAUSFUNC2	Делать так, что X происходит с P2 или воздействует на P2 (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, Х - функцию главного дополнения, а P2 - функцию второстепенного дополнения)
CAUSOPER1	Делать так, что P1 делает, испытывает  или имеет X (лексически обусловленный глагол, при котором P0 или P2 выполняет функцию подлежащего, P1 - функцию главного дополнения, а X - функцию второстепенного дополнения)
CAUSOPER2	Делать так, что P2 подвергается X-у, находится в состоянии X или испытывает X (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, P2 - функцию главного дополнения, а X - функцию второстепенного дополнения)
CAUSREAL1	Делать так, что P1 использует X в соответствии с его предназначением (лексически обусловленный глагол, при котором P0 или P2 выполняет функцию подлежащего, P1 - функцию главного дополнения, а X - функцию второстепенного дополнения)
CAUSREAL2	Делать так, что P2 доступен для использования в соответствии с предназначением X-а (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, P2 - функцию главного дополнения, а X - функцию второстепенного дополнения)
COHYP	Существительное, прилагательное или глагол, обозначающие другой вид того же самого рода, к которому принадлежит Х
CONV	Конверсив – лексема той же части речи, что X, обозначающая ту же самую ситуацию, что X, и имеющая не менее двух таких синтаксических актантов, которые обмениваются своими семантическими ролями с соответствующими актантами X-а: наполнять (бак бензином) – (наливать бензин в бак), Снег покрывает поля – Поля покрываются снегом
DEGRAD	X становится хуже, портится или становится непригодным для использования из-за утраты своей основной функции  (лексически обусловленный глагол, при котором X выполняет функцию подлежащего)
EQUIP	Существительное, обозначающее личный состав или персонал, обслуживающий X, и либо подчиняющее X синтаксически, либо включающее значение Х-а в свое собственное значение
FACT0	X функционирует в соответствии со своим предназначением (лексически обусловленный глагол, при котором X выполняет функцию подлежащего)
FACT0-M	X находится в состоянии, соответствующем нормальным ожиданиям  (лексически обусловленный глагол, при котором X выполняет функцию подлежащего)
FACT1-M	X находится в таком состоянии по отношению к P1, которое соответствует нормальным ожиданиям (лексически обусловленный глагол, при котором X выполняет функцию подлежащего, а P1 - функцию главного дополнения)
FACT2	X функционирует в соответствии со своим предназначением по отношению к P2 (лексически обусловленный глагол, при котором X выполняет функцию подлежащего, а P2 - функцию главного дополнения)
FIN	Перестать делать X, иметь X или быть в состоянии X (глагол, включающий значение X в свое значение, при котором P1 выполняет функцию подлежащего)
FINFACT0	X перестает функционировать в соответствии со своим предназначением (лексически обусловленный глагол, при котором X выполняет функцию подлежащего)
FINFUNC0	X перестает иметь место (лексически обусловленный глагол, при котором X выполняет функцию подлежащего)
FINOPER1	Перестать делать X, иметь X или быть в состоянии X (лексически обусловленный глагол, при котором P1 выполняет функцию подлежащего, а X - функцию главного дополнения)
FINOPER2	Перестать подвергаться X-у, находиться в состоянии X или испытыватьX (лексически обусловленный глагол, при котором P2 выполняет функцию подлежащего, а X - функцию главного дополнения)
FINREAL1	Перестать использовать X в соответствии с его предназначением (лексически обусловленный глагол, при котором P1 выполняет функцию подлежащего, а X - функцию главного дополнения)
FUNC0	X происходит, существует или имеет место (лексически обусловленный глагол, при котором X выполняет функцию подлежащего)
FUNC1	X имеется у P1 или характеризует P1 (лексически обусловленный глагол, при котором X выполняет функцию подлежащего, а P1 - функцию главного дополнения)
GENER	Существительное, прилагательное или глагол, являющиеся родовым названием для X-а
HYPO	Существительное, прилагательное или глагол, обозначающие вид или разновидность X-а
INCEP	Начать делать X, иметь X или быть в состоянии X (глагол, включающий значение X в свое значение, при котором P1 выполняет функцию подлежащего)
INCEPFUNC0	X начинает иметь место (лексически обусловленный глагол, при котором X выполняет функцию подлежащего)
INCEPFUNC1	X начинает иметь место у P1 или с P1 (лексически обусловленный глагол, при котором X выполняет функцию подлежащего, а P1 - функцию главного дополнения)
INCEPOPER1	Начать делать X, иметь X или быть в состоянии X (лексически обусловленный глагол, при котором P1 выполняет функцию подлежащего, а X - функцию главного дополнения)
INCEPOPER2	Начать подвергаться X-у, находиться в состоянии X или испытывать X (лексически обусловленный глагол, при котором P2 выполняет функцию подлежащего, а X - функцию главного дополнения)
INCEPREAL1	Начать использовать X в соответствии с его предназначением (лексически обусловленный глагол, при котором P1 выполняет функцию подлежащего, а X - функцию главного дополнения)
INCEPREAL1-M	Начинать делать по отношению к X-у то, что нормально ожидается от P1 (лексически обусловленный глагол, при котором P1 выполняет функцию подлежащего, а X - функцию главного дополнения)
INCEPREAL2	Начинать быть доступным для использования в соответствии с предназначением Х-а (лексически обусловленный глагол, при котором P2 выполняет функцию подлежащего, а X - функцию главного дополнения)
LABOR1-2	Подвергать P2 действию X-а (лексически обусловленный глагол, при котором P1 выполняет функцию подлежащего, P2 - функцию главного дополнения, а X - функцию второстепенного дополнения)
LABREAL1-2	Воздействовать на что-либо X-м, используя X в соответствии с его предназначением (лексически обусловленный глагол, при котором P1 выполняет функцию подлежащего, P2 - функцию главного дополнения, а X – функцию второстепенного дополнения)
LIQUFACT0	Делать так, что X перестает функционировать в соответствии со своим предназначением (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, а Х - функцию главного дополнения)
LIQUFACT0-M	Делать так, что X перестает находиться в состоянии, соответствующем нормальным ожиданиям (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, а Х - функцию дополнения)
LIQUFUNC0	Делать так, что Х перестает существовать или иметь место (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, а Х - функцию дополнения); для некоторых аргументов (надежда, приказ) совпадает с LIQUFACT0-M
LIQUFUNC1	Делать так, что X перестает быть состоянием, свойством или атрибутом P1 (лексически обусловленный глагол, при котором P0 или P2 выполняет функцию подлежащего, Х - функцию главного дополнения, а P1 - функцию второстепенного дополнения)
LIQUOPER1	Делать так, что P1 перестает делать, испытывать или иметь X (лексически обусловленный глагол, при котором P0 или P2 выполняет функцию подлежащего, P1 - функцию главного дополнения, а X – функцию второстепенного дополнения)
LIQUREAL1	Делать так, что P1 перестает использовать X в соответствии с его предназначением (лексически обусловленный глагол, при котором P0 или P2 ситуации выполняет функцию подлежащего, P1 - функцию главного дополнения, а X - функцию второстепенного дополнения)
LOC	Предлог, обозначающий нормальную пространственную или временную локализацию чего-либо по отношению к X-у, синтаксически подчиняющий Х, или падежная форма Х-а с тем же значением
MAGN	Прилагательное, наречие, сочетание предлога с существительным или сравнительный оборот с союзом, обозначающие большую степень или интенсивность X-а и выполняющие при X-е функцию синтаксического определения или обстоятельства
MANIF	Создавать для наблюдателя возможность воспринять X (лексически обусловленный глагол, при котором P1 выполняет функцию подлежащего, а X - функцию главного дополнения)
MULT	Существительное, обозначающее организованную или естественную совокупность X-ов или X-а и либо подчиняющее X синтаксически, либо включающее значение X-а в свое лексическое значение
OPER1	Делать X, иметь X или быть в состоянии X (лексически обусловленный глагол, при котором P1 выполняет функцию подлежащего, а X - функцию главного дополнения)
OPER2	Подвергаться X-у, находиться в состоянии X или испытывать X (лексически обусловленный глагол, при  котором P2 выполняет функцию подлежащего, а X - функцию главного дополнения)
PREPAR	Приготовить X к использованию в соответствии с его предназначением (лексически обусловленный глагол, при котором P1 выполняет функцию подлежащего, а X - функцию главного дополнения)
REAL1	Использовать X в соответствии с его предназначением (лексически обусловленный глагол, при котором P1 выполняет функцию подлежащего, а X – функцию главного дополнения)
REAL1-M	Делать по отношению к X-у то, что нормально ожидается от P1 (лексически обусловленный глагол, при котором P1 выполняет функцию подлежащего, а X - функцию главного дополнения)
REAL2	Быть доступным для использования в соответствии с предназначением Х-а (лексически обусловленный глагол, при котором P2 выполняет функцию подлежащего, а X - функцию главного дополнения)
REAL2-M	Делать по отношению к X-у то, что нормально ожидается от P2 (лексически обусловленный глагол, при котором P2 выполняет функцию подлежащего, а X - функцию главного дополнения)
S0	Существительное, имеющее то же лексическое значение, что X
S1	Семантически производное от X-а cуществительное со значением лица или объекта P1, которые делают X, имеют X или находятся в состоянии X
S2	Семантически производное от X-а существительное со значением лица или объекта P2, который подвергается действию X-а или создается X-ом
S3	Семантически производное от X-а существительное со значением получателя действия X
SING	Существительное, обозначающее один экземпляр, элемент, порцию, штуку или единицу X-а и либо подчиняющее X синтаксически, либо включающее значение X-а в свое лексическое значение
SYN	Синоним – лексема той же части речи, что X, со значением, совпадающим со значением X-а или близким  к нему
V0	Глагол, имеющий то же лексическое значение, что X
VER	Прилагательное или наречие со значением свойства, которое нормально ожидается или требуется от X-а, выполняющее при X-е функцию синтаксического определения или обстоятельства
FINFUNC1	X перестает иметь место у P1 или с P1 (лексически обусловленный глагол, при котором X выполняет функцию подлежащего, а P1 - функцию главного дополнения)
SON	X издает характерный для него звук (лексически обусловленный глагол, при котором X выполняет функцию подлежащего)
FUNC2	X воздействует на P2, касается P2 или состоит в P2 (лексически обусловленный глагол, при котором X выполняет функцию подлежащего, а P2 - функцию главного дополнения)
FACT1	X функционирует в соответствии со своим предназначением по отношению к P1 (лексически обусловленный глагол, при котором X выполняет функцию подлежащего, а P1 - функцию главного дополнения)
FINLABOR1-2	Перестать подвергать P2 действию X-а (лексически обусловленный глагол, при котором P1 выполняет функцию подлежащего, P2 - функцию главного дополнения, а X - функцию второстепенного дополнения)
ANTIFACT0-M	X находится в состоянии, противоположном тому, которое нормально ожидается от него в соответствующей ситуации (лексически обусловленный глагол, при котором X выступает в функции подлежащего)
FINREAL1-M	Переставать делать по отношению к X-у то, что нормально ожидается от P1 (лексически обусловленный глагол, при котором P1 выполняет функцию подлежащего, а X - функцию главного дополнения)
INCEPFACT0	X начинает функционировать в соответствии со своим предназначением (лексически обусловленный глагол, при котором X выполняет функцию подлежащего)
INCEPLABOR1-2	Начать подвергать P2 действию X-а (лексически обусловленный глагол, при котором P1 выполняет функцию подлежащего, P2 - функцию главного дополнения, а X - функцию второстепенного дополнения)
LIQU	Делать так, что X перестает существовать или иметь место (глагол, включающий значение X в свое значение, при котором P0 выполняет функцию подлежащего, а P1 – функцию главного дополнения)
LIQUFACT1-M	Делать так, что X перестает находиться в таком состоянии по отношению к P1, которое соответствует нормальным ожиданиям (лексически обусловленный глагол, при котором P0 или P2 выполняет функцию подлежащего, Х - функцию главного дополнения, а P1 – функцию второстепенного дополнения)
LIQUFUNC2	Делать так, что X перестает воздействовать на P2 (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, Х - функцию главного дополнения, а P2 - функцию второстепенного дополнения)
LIQUOPER2	Делать так, что P2 перестает подвергаться X-у, находиться в состоянии X или испытывать X (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, P2 - функцию главного дополнения, а X – функцию второстепенного дополнения)
LIQUREAL1-M	Делать так, что P1 перестает делать по отношению к X-у то, что от P1 нормально ожидается (лексически обусловленный глагол, при котором P0 или P2 выполняет функцию подлежащего, P1 - функцию главного дополнения, а X – функцию второстепенного дополнения)
S-INSTR	Семантически производное от X существительное со значением инструмента или органа, с помощью которого обычно выполняется действие X
S-MED	Семантически производное от X существительное со значением материального объекта, с помощью которого выполняется действие X и который постепенно расходуется в процессе выполнения действия
SYN1	Семантически неточный синоним Х-а
CARN	Существительное, обозначающее мясо X-а, употребляемое в пищу человеком
FEM	Существительное, обозначающее самку X-а
FIGUR	Существительное, являющееся привычным образным названием Х-а, выполняющее функцию синтаксического хозяина Х-а и в сочетании с Х-м синонимичное самому Х-у
FIL	Существительное, обозначающее детеныша X-а
MASC	Существительное, обозначающее самца X-а
CAUSFACT2-M	Делать так, что X находится в таком состоянии по отношению к P2, которое соответствует нормальным ожиданиям (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, Х - функцию главного дополнения, а P2 – функцию второстепенного дополнения)
LIQUFACT1	Делать так, что X перестает функционировать в соответствии со своим предназначением по отношению к P1 (лексически обусловленный глагол, при котором P0 или P2 выполняет функцию подлежащего, Х - функцию главного дополнения, а P1 - функцию второстепенного дополнения)
CAUSREAL1-M	Делать так, что P1 делает по отношению к X-у то, что от P1 нормально ожидается (лексически обусловленный глагол, при котором P0 или P2 выполняет функцию подлежащего, P1 – функцию главного дополнения, а X - функцию второстепенного дополнения)
ANTIREAL3-M	Делать по отношению к X-у нечто противоположное тому, что нормально ожидается от P3 (лексически обусловленный глагол, при котором P3 выступает в функции подлежащего, а X - в функции главного дополнения)
CAUSDEGRAD	Делать так или быть причиной того, что X становится хуже, портится или выходит из строя (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, а X - функцию дополнения)
FUNC3	X воздействует на P3, касается P3 или состоит в P3 (лексически обусловленный глагол, при котором X выполняет функцию подлежащего, а P3 - функцию главного дополнения)
OPER3	Быть получателем X-а (лексически обусловленный глагол, при котором P3 выполняет функцию подлежащего, а X - функцию главного дополнения)
REAL3-M	Делать по отношению к X-у то, что нормально ожидается от P3 (лексически обусловленный глагол, при котором P3 выполняет функцию подлежащего, а X - функцию главного дополнения)
S-RES	Семантически производное от X существительное со значением результата действия X
FACT3-M	X находится в таком состоянии по отношению к P3, которое соответствует нормальным ожиданиям (лексически обусловленный глагол, при котором X выполняет функцию подлежащего, а P3 - функцию главного дополнения)
CAUSFACT3-M	Делать так, что X находится в таком состоянии по отношению к P3, которое соответствует нормальным ожиданиям (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, Х - функцию главного дополнения, а P3 – функцию второстепенного дополнения)
FACT2-M	
FINREAL2	Перестать быть доступным для использования в соответствии с назначением X-а (лексически обусловленный глагол, при котором P2 выполняет функцию подлежащего, а X - функцию главного дополнения)
CAUS	Делать так или быть причиной того, что Х происходит или имеет место (глагол, включающий значение X в свое значение, при котором P0 выполняет функцию подлежащего, а P1 – функцию главного дополнения)
CAUSFACT0-M	Делать так или быть причиной того, что X находится в состоянии, соответствующем нормальным ожиданиям (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, а Х - функцию дополнения)
INCEPFACT1-M	X начинает находиться в таком состоянии по отношению к P1, которое соответствует нормальным ожиданиям (лексически обусловленный глагол, при котором X выполняет функцию подлежащего, а P1 - функцию главного дополнения)
LIQUREAL2-M	Делать так, что P2 не делает или перестает делать то, что нормально ожидается от него в ситуации Х (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, P2 - функцию главного дополнения, а X – функцию второстепенного дополнения)
ADV2	Семантически производное от X-а наречие или сочетание предлога с существительным, описывающее свойство или состояние участника P2 или воздействие, которому он подвергается
S-LOC	Семантически производное от X существительное со значением места, где обычно выполняется действие X или имеет место ситуация Х
LIQUREAL2	Делать так, что P2 перестает использоваться в X в соответствии с предназначением X-а (лексически обусловленный глагол, при котором P0 или P1 выполняет функцию подлежащего, P2 - функцию главного дополнения, а X - функцию второстепенного дополнения)
S-MOD	Семантически производное от X существительное со значением специальной манеры выполнения действия X человеком P1
